isoa2,2025-07-01
AF,3748
AL,2878
DZ,36969
AD,53
AO,6433
AG,42
AR,56722
AM,5227
AU,81847
AT,11523
AZ,10042
BH,18
BD,8843
BB,0
BY,34540
BE,5984
BZ,660
BJ,1344
BT,1042
BO,7904
BA,6207
BW,5472
BR,298413
BN,309
BG,13789
BF,1495
BI,394
KH,2767
CM,2193
CA,150346
CV,43
CF,139
TD,127
CL,25586
CO,17435
KM,0
CR,2453
HR,9787
CU,6340
CY,1060
CZ,15705
CD,7998
DJ,283
DM,0
DO,2460
EC,8295
EG,28066
SV,1405
GQ,1171
ER,125
EE,6981
SZ,703
ET,16822
FM,8
FJ,
FI,24662
FR,83672
GA,450
GE,6663
DE,63024
GH,5656
GR,12044
GD,0
GT,2685
GN,1238
GW,220
GY,2
HT,153
HN,1808
HU,10355
IS,3506
IN,457041
ID,36305
IR,77063
IQ,19614
IE,6726
IL,3544
IT,71134
CI,11170
JM,613
JP,72744
JO,2689
KZ,70518
KE,7564
NL,4180
KI,0
KW,4795
KG,6985
LA,7790
LV,11847
LB,896
LS,638
LR,587
LY,25727
LI,30
LT,9712
LU,649
MG,287
MW,2491
MY,15085
MV,0
ML,1584
MT,12
MH,0
MR,1447
MU,152
MX,85458
MD,11615
MC,4
MN,14072
ME,2076
MA,23427
MZ,9267
MM,14041
,
NR,0
NP,3771
NZ,12490
NI,2599
NE,1222
NG,13646
KP,5728
MK,1920
NO,32016
OM,10175
PK,40978
PW,0
PA,2125
PG,948
PY,4712
CN,1023245
PE,20569
PH,14549
PL,48389
PT,17377
QA,1176
CG,1616
RO,25457
RU,
RW,1210
KN,0
LC,0
VC,0
WS,0
SM,5
SA,48988
SN,2681
RS,10175
SC,4
SL,753
SG,0
SK,7178
SI,3306
SB,0
SO,1
ZA,81095
KR,13746
SS,218
ES,82883
LK,3739
PS,276
SD,6516
SR,133
SE,45324
CH,9600
SY,18820
ST,6
TW,
TJ,5876
TZ,8211
TH,22502
BS,92
GM,160
TL,589
TG,955
TO,3
TT,273
TN,5839
TR,65030
TM,14575
TV,0
UG,3058
UA,126155
AE,8148
GB,28646
US,862413
UY,7175
UZ,22947
VU,0
VA,0
VE,21892
VN,30383
YE,1547
ZM,12929
ZW,7412
